,home_runs,player_name,total_pitches,pitch_percent,xwoba,xba,launch_speed,launch_angle,spin_rate,velocity,effective_speed,release_extension
389,3,Jace Peterson,1098,0.3,1.729,0.894,105.2,25.3,2167.0,91.4,91.07,6.1
390,3,Chase d'Arnaud,395,0.8,1.165,0.63,99.9,27.3,2097.0,85.5,85.07,6.07
391,3,Cheslor Cuthbert,475,0.6,0.925,0.528,101.2,29.3,2145.0,93.3,92.83,5.93
392,3,Austin Jackson,1599,0.2,1.45,0.7490000000000001,102.5,29.3,1762.0,81.9,81.77,6.0
393,3,Christian Walker,224,1.3,1.9669999999999999,0.975,110.6,27.0,2397.0,90.2,90.03,6.07
394,3,Tyler Naquin,671,0.4,1.584,0.8540000000000001,105.0,25.3,1818.0,87.9,86.93,5.8
395,3,Max Moroff,273,1.1,1.403,0.7659999999999999,102.5,26.0,2283.0,91.5,91.5,6.4
396,3,Trayce Thompson,603,0.5,1.77,0.885,107.1,29.7,2111.0,90.8,90.9,6.2
397,3,Isaac Galloway,281,1.1,1.217,0.623,101.6,31.7,2011.0,78.7,78.37,6.03
398,3,Caleb Joseph,1088,0.3,0.706,0.376,97.7,31.7,2263.0,84.0,83.23,5.97
399,3,Pablo Reyes,229,1.3,0.9620000000000001,0.564,100.1,25.7,2050.0,87.0,86.5,6.0
400,3,Jon Jay,2256,0.1,1.024,0.547,99.2,30.0,2648.0,84.6,84.3,5.87
401,3,Danny Jansen,355,0.8,1.324,0.6859999999999999,102.6,31.3,2292.0,89.0,87.63,5.53
402,2,Bradley Zimmer,410,0.5,1.516,0.8029999999999999,106.7,29.5,2417.0,84.3,83.3,5.65
403,2,Jose Miguel Fernandez,445,0.4,1.185,0.6459999999999999,101.1,26.5,1980.0,87.6,87.1,6.15
404,2,Josh Phegley,388,0.5,1.149,0.613,100.9,26.5,2338.0,85.3,84.85,6.05
405,2,Jarrod Dyson,868,0.2,1.432,0.753,102.3,27.5,2106.0,92.6,93.4,6.75
406,2,Gregor Blanco,816,0.2,0.8759999999999999,0.465,99.0,29.5,2307.0,92.1,91.3,6.05
